protocol,seed,held_out,comparison,AUROC,AUPRC,direction,positive_count,negative_count,status,reason
pooled,2026,ALL,known_incorrect vs known_correct,0.9113199770194225,0.2736470735426793,higher_entropy_indicates_known_incorrect,389,23912,AVAILABLE,
pooled,2026,ALL,malicious vs benign,0.7440653315779806,0.835169276768579,higher_entropy_indicates_malicious,17015,7286,AVAILABLE,
loso,42,1-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,13836,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,42,1-1,known_incorrect vs known_correct,0.937043765575709,0.8889709869657322,higher_entropy_indicates_known_incorrect,6172,13836,AVAILABLE,
loso,42,1-1,malicious vs benign,0.9235676758593125,0.8686176568305506,higher_entropy_indicates_malicious,10008,10000,AVAILABLE,
loso,42,3-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,19492,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,42,3-1,known_incorrect vs known_correct,0.922159639862366,0.3246286263614966,higher_entropy_indicates_known_incorrect,1014,19492,AVAILABLE,
loso,42,3-1,malicious vs benign,0.5284390706118948,0.8427460779519973,higher_entropy_indicates_malicious,15970,4536,AVAILABLE,
loso,42,34-1,absent_from_train vs known_correct,0.3082325587985265,0.7961193681583006,higher_entropy_indicates_absent_from_train,10000,3529,AVAILABLE,
loso,42,34-1,known_incorrect vs known_correct,0.9857063848818873,0.9902252205877564,higher_entropy_indicates_known_incorrect,5222,3529,AVAILABLE,
loso,42,34-1,malicious vs benign,0.7435773970060299,0.9717540178645792,higher_entropy_indicates_malicious,16828,1923,AVAILABLE,
loso,42,36-1,absent_from_train vs known_correct,0.9648812445225629,0.9947061299125195,higher_entropy_indicates_absent_from_train,20003,2662,AVAILABLE,
loso,42,36-1,known_incorrect vs known_correct,1.0,1.0,higher_entropy_indicates_known_incorrect,1,2662,AVAILABLE,
loso,42,36-1,malicious vs benign,0.9645189158539474,0.9943092670676237,higher_entropy_indicates_malicious,20003,2663,AVAILABLE,
loso,42,39-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,17836,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,42,39-1,known_incorrect vs known_correct,0.9444417928532298,0.7750615512227439,higher_entropy_indicates_known_incorrect,1708,17836,AVAILABLE,
loso,42,39-1,malicious vs benign,0.48944099634090105,0.7304430513319171,higher_entropy_indicates_malicious,12207,7337,AVAILABLE,
loso,42,9-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,19802,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,42,9-1,known_incorrect vs known_correct,0.8936432805991436,0.13213574238688439,higher_entropy_indicates_known_incorrect,198,19802,AVAILABLE,
loso,42,9-1,malicious vs benign,0.37700359999999994,0.6059800409027378,higher_entropy_indicates_malicious,10000,10000,AVAILABLE,
pooled,42,ALL,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,23953,NOT_AVAILABLE,Requires at least one positive and one negative sample.
pooled,42,ALL,known_incorrect vs known_correct,0.9103532372543741,0.31198719357833155,higher_entropy_indicates_known_incorrect,348,23953,AVAILABLE,
pooled,42,ALL,malicious vs benign,0.7735920117151394,0.8477890113673546,higher_entropy_indicates_malicious,17025,7276,AVAILABLE,
