protocol,seed,held_out,group,count,mean,std,median,q25,q75,min,max,entropy_source
loso,1337,1-1,known_correct,16800,0.7527974453843522,0.6186974167998249,0.3178202262417682,0.28210058507989305,1.6888579017741494,0.0021050813723352793,1.8359286513149569,probabilities
loso,1337,1-1,known_incorrect,3208,1.570105980549797,0.43382197065554395,1.6742860127418968,1.6742718687131173,1.782336761590968,0.013612677070958795,1.861947921519156,probabilities
loso,1337,1-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,1337,1-1,benign,10000,0.41988346641062907,0.4258300790931268,0.28210058507989305,0.28210058507989305,0.3178202262417682,0.0021050813723352793,1.861947921519156,probabilities
loso,1337,1-1,malicious,10008,1.3474282977572514,0.5210563216438069,1.6742984824889358,0.681541469594819,1.782336761590968,0.013612677070958795,1.8618950683669881,probabilities
loso,1337,3-1,known_correct,18687,0.14051977564434368,0.21202700884393058,0.027246315954118343,0.003655117386301602,0.1792733698596318,0.00017606333484270877,1.5723239057863403,probabilities
loso,1337,3-1,known_incorrect,1819,0.45463325720361303,0.18774261404118248,0.3637766105369997,0.36371968860521936,0.5921464255338216,0.0036226906183602376,1.536496820605922,probabilities
loso,1337,3-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,1337,3-1,benign,4536,0.09569521507090245,0.1718506145954526,0.0630555380502165,0.025479844502715905,0.06524776570870008,0.00017606333484270877,1.5723239057863403,probabilities
loso,1337,3-1,malicious,15970,0.1890292703041709,0.23779132066471503,0.027246315954118343,0.003686975131337974,0.5063427329277398,0.0013698885673767967,1.4711127456108408,probabilities
loso,1337,34-1,known_correct,1935,0.033426600313033884,0.11959227879590968,0.00020401719480569878,0.00011095372720808323,0.006162494572104083,2.5383145040712558e-05,0.7043788826003774,probabilities
loso,1337,34-1,known_incorrect,6816,0.5043177323519741,0.048634817703297716,0.4975912266681096,0.4975912266681096,0.5262277829740747,0.016616666757873856,0.7936791194067696,probabilities
loso,1337,34-1,absent_from_train,10000,0.0008106187139699159,0.0014644694367178708,0.0006699733295478859,0.0006699733295478859,0.0006699733295478859,0.0003949405497488174,0.024676416019451336,probabilities
loso,1337,34-1,benign,1923,0.01860049336791654,0.08200965785234338,0.00020401719480569878,0.00011095368097241524,0.006162494572104083,2.5383145040712558e-05,0.7043788826003774,probabilities
loso,1337,34-1,malicious,16828,0.2064682418415719,0.24962323328717367,0.0006699733295478859,0.0006699733295478859,0.4975912266681096,0.0003949405497488174,0.7936791194067696,probabilities
loso,1337,36-1,known_correct,2663,0.0011071205778632987,0.015882791034726104,5.325463635204353e-05,4.9418865374929735e-05,0.00011402525703748748,3.495604562407484e-05,0.6961975736892518,probabilities
loso,1337,36-1,known_incorrect,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,1337,36-1,absent_from_train,20003,0.5116487986183206,0.20657275362617125,0.3052089344686205,0.3052089344686205,0.7100322385576245,0.0824609961184076,0.7264297794114153,probabilities
loso,1337,36-1,benign,2663,0.0011071205778632987,0.015882791034726104,5.325463635204353e-05,4.9418865374929735e-05,0.00011402525703748748,3.495604562407484e-05,0.6961975736892518,probabilities
loso,1337,36-1,malicious,20003,0.5116487986183206,0.20657275362617125,0.3052089344686205,0.3052089344686205,0.7100322385576245,0.0824609961184076,0.7264297794114153,probabilities
loso,1337,39-1,known_correct,17559,0.035733527633278986,0.10615767039393385,0.020532410773256835,0.020532410773256835,0.020532410773256835,2.972001232849408e-18,1.1949150901567713,probabilities
loso,1337,39-1,known_incorrect,1985,0.6726355965475416,0.4472467479674543,0.47568192520917824,0.3000763080241431,1.1006441750003482,1.9412957621742205e-17,1.39843649612334,probabilities
loso,1337,39-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,1337,39-1,benign,7337,0.09287609817527352,0.23213693080784525,0.032054553195499255,0.0014786380862450896,0.05958411333056871,2.972001232849408e-18,1.1609354336691788,probabilities
loso,1337,39-1,malicious,12207,0.10495574166852083,0.27487572743097183,0.020532410773256835,0.020532410773256835,0.020532410773256835,1.9412957621742205e-17,1.39843649612334,probabilities
loso,1337,9-1,known_correct,19849,0.03395814428475748,0.06413011576631819,0.0308794407997728,0.012879213805741046,0.0308794407997728,3.9175470311861684e-05,1.3523296834230014,probabilities
loso,1337,9-1,known_incorrect,151,0.9189376082943971,0.24978993081154358,0.9843827019372555,0.7318526874888377,1.0906123712597156,0.028110208228676915,1.3715693032586795,probabilities
loso,1337,9-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,1337,9-1,benign,10000,0.04983354182616543,0.14370758072967915,0.013179923357972093,0.002411867590262947,0.03290301264694824,3.9175470311861684e-05,1.3715693032586795,probabilities
loso,1337,9-1,malicious,10000,0.0314459366498951,0.004620307831625701,0.0308794407997728,0.0308794407997728,0.0308794407997728,0.028110208228676915,0.11050829550670022,probabilities
pooled,1337,ALL,known_correct,23937,0.046794683714924575,0.08520253510939874,0.005795570445447868,0.0011449952902830038,0.02302463708545787,1.6748099338599534e-07,1.393561783579944,probabilities
pooled,1337,ALL,known_incorrect,364,0.42730672751038995,0.4111632655433873,0.2525657736960887,0.1540777118407858,0.7475744328071613,1.1696604513261417e-05,1.4874333397915245,probabilities
pooled,1337,ALL,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
pooled,1337,ALL,benign,7294,0.020902282337348463,0.08302527646795034,9.557292891904051e-05,1.1696604513261417e-05,0.00600380354279032,1.6748099338599534e-07,1.4874333397915245,probabilities
pooled,1337,ALL,malicious,17007,0.06604355533188169,0.11541377713601489,0.006215679347807677,0.0024257997498768847,0.1540777118407858,1.1696604513261417e-05,1.393561783579944,probabilities
loso,2026,1-1,known_correct,9519,1.3739599220315561,0.37003742830005915,1.5295880569523512,1.094664950368991,1.5295880569523512,0.23733231377675507,1.9180257027548917,probabilities
loso,2026,1-1,known_incorrect,10489,1.7650079477785963,0.1746529355462472,1.7627107817530887,1.7627107817530887,1.8708205696238545,0.3767616460147096,1.9618630043314782,probabilities
loso,2026,1-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,2026,1-1,benign,10000,1.6568657292940727,0.3385315574744153,1.7627107817530887,1.7627107817530887,1.7627107817530887,0.23733231377675507,1.9383212294071055,probabilities
loso,2026,1-1,malicious,10008,1.5011226587857065,0.33439641506911694,1.5295880569523512,1.094664950368991,1.8708204682892478,0.3767616460147096,1.9618630043314782,probabilities
loso,2026,3-1,known_correct,20263,0.400927676487828,0.38779029798680587,0.14564110363279303,0.08541862280866869,0.9024516981639931,0.008837306168523807,1.8126777130862928,probabilities
