protocol,seed,held_out,class,precision,recall,f1,support
loso,2026,39-1,Benign,0.9650837988826816,0.9418018263595475,0.9533006828999103,7337
loso,2026,39-1,C&C,0.0,0.0,0.0,1530
loso,2026,39-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,2026,39-1,DDoS,0.0,0.0,0.0,0
loso,2026,39-1,Okiru,0.0,0.0,0.0,0
loso,2026,39-1,Okiru-Attack,0.0,0.0,0.0,0
loso,2026,39-1,PartOfAHorizontalPortScan,0.9562057754828839,1.0,0.9776126698602013,10000
loso,2026,9-1,Attack,0.0,0.0,0.0,0
loso,2026,9-1,Benign,0.999845987987063,0.6492,0.7872430728187716,10000
loso,2026,9-1,C&C,0.0,0.0,0.0,0
loso,2026,9-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,2026,9-1,DDoS,0.0,0.0,0.0,0
loso,2026,9-1,Okiru,0.0,0.0,0.0,0
loso,2026,9-1,Okiru-Attack,0.0,0.0,0.0,0
loso,2026,9-1,PartOfAHorizontalPortScan,0.9998000199980002,0.9999,0.999850007499625,10000
pooled,2026,ALL,Attack,0.9443651925820257,0.9969879518072289,0.96996336996337,1328
pooled,2026,ALL,Benign,0.9955990914253265,0.962530881141916,0.9787857641311933,7286
pooled,2026,ALL,C&C,0.97397989355411,0.9981818181818182,0.9859323555821611,1650
pooled,2026,ALL,C&C-HeartBeat,1.0,1.0,1.0,2018
pooled,2026,ALL,DDoS,1.0,0.9875,0.9937106918238994,2000
pooled,2026,ALL,Okiru,1.0,1.0,1.0,1991
pooled,2026,ALL,Okiru-Attack,0.0,0.0,0.0,0
pooled,2026,ALL,PartOfAHorizontalPortScan,0.9723378212974296,0.9895366218236173,0.980861834794419,8028
loso,42,1-1,Attack,0.0,0.0,0.0,0
loso,42,1-1,Benign,0.9821155943293348,0.9006,0.9395931142410016,10000
loso,42,1-1,C&C,0.0,0.0,0.0,8
loso,42,1-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,42,1-1,DDoS,0.0,0.0,0.0,0
loso,42,1-1,Okiru,0.0,0.0,0.0,0
loso,42,1-1,Okiru-Attack,0.0,0.0,0.0,0
loso,42,1-1,PartOfAHorizontalPortScan,0.9669669669669669,0.483,0.644214738246082,10000
loso,42,3-1,Attack,0.973202614379085,0.9989936262998994,0.985929481873862,5962
loso,42,3-1,Benign,0.9986046511627907,0.9466490299823633,0.9719330013580806,4536
loso,42,3-1,C&C,0.11320754716981132,0.75,0.19672131147540983,8
loso,42,3-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,42,3-1,DDoS,0.0,0.0,0.0,0
loso,42,3-1,Okiru,0.0,0.0,0.0,0
loso,42,3-1,Okiru-Attack,0.0,0.0,0.0,0
loso,42,3-1,PartOfAHorizontalPortScan,0.9968699406368052,0.9236,0.9588372696600052,10000
loso,42,34-1,Attack,0.0,0.0,0.0,0
loso,42,34-1,Benign,0.12783810463968412,0.9427977119084764,0.22514746972989755,1923
loso,42,34-1,C&C,0.9993730407523511,0.23769758425290785,0.3840501144440429,6706
loso,42,34-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,42,34-1,DDoS,0.0,0.0,0.0,10000
loso,42,34-1,Okiru,0.0,0.0,0.0,0
loso,42,34-1,Okiru-Attack,0.0,0.0,0.0,0
loso,42,34-1,PartOfAHorizontalPortScan,0.041174485318933515,1.0,0.07909238249594813,122
loso,42,36-1,Attack,0.0,0.0,0.0,0
loso,42,36-1,Benign,0.998874296435272,0.9996244836650394,0.9992492492492493,2663
loso,42,36-1,C&C,0.0,0.0,0.0,0
loso,42,36-1,C&C-HeartBeat,0.0,0.0,0.0,10000
loso,42,36-1,DDoS,0.0,0.0,0.0,0
loso,42,36-1,Okiru,0.0,0.0,0.0,10000
loso,42,36-1,Okiru-Attack,0.0,0.0,0.0,3
loso,42,36-1,PartOfAHorizontalPortScan,0.0,0.0,0.0,0
loso,42,39-1,Attack,0.3901098901098901,0.8389955686853766,0.5325832161275199,677
loso,42,39-1,Benign,0.9587125709009365,0.9905956112852664,0.9743933503150556,7337
loso,42,39-1,C&C,0.0,0.0,0.0,1530
loso,42,39-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,42,39-1,DDoS,0.0,0.0,0.0,0
loso,42,39-1,Okiru,0.0,0.0,0.0,0
loso,42,39-1,Okiru-Attack,0.0,0.0,0.0,0
loso,42,39-1,PartOfAHorizontalPortScan,0.9566631589017507,1.0,0.9778516599031927,10000
loso,42,9-1,Attack,0.0,0.0,0.0,0
loso,42,9-1,Benign,0.9996941272430668,0.9805,0.9900040387722132,10000
loso,42,9-1,C&C,0.0,0.0,0.0,0
loso,42,9-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,42,9-1,DDoS,0.0,0.0,0.0,0
loso,42,9-1,Okiru,0.0,0.0,0.0,0
loso,42,9-1,Okiru-Attack,0.0,0.0,0.0,0
loso,42,9-1,PartOfAHorizontalPortScan,0.9996000399960004,0.9997,0.9996500174991251,10000
pooled,42,ALL,Attack,0.96996336996337,0.9969879518072289,0.9832900111399926,1328
pooled,42,ALL,Benign,0.9920959774170783,0.9660527762506872,0.9789011907248799,7276
pooled,42,ALL,C&C,0.976882039122703,0.9987878787878788,0.9877135151333533,1650
pooled,42,ALL,C&C-HeartBeat,1.0,1.0,1.0,1992
pooled,42,ALL,DDoS,0.9975024975024975,0.9985,0.9980009995002499,2000
pooled,42,ALL,Okiru,1.0,1.0,1.0,2028
pooled,42,ALL,Okiru-Attack,0.3333333333333333,1.0,0.5,1
pooled,42,ALL,PartOfAHorizontalPortScan,0.9748126305442929,0.9885372539247446,0.9816269718527684,8026
