seed,baseline_validation_macro_f1,selected_validation_macro_f1,test_accuracy,test_weighted_f1,test_macro_f1
42,0.5218283020471323,0.7762779052304024,0.8579952267303103,0.8241786770061307,0.7787615921760571
1337,0.5219182446610195,0.6497592670855286,0.8069294708254464,0.7359768910759418,0.6520250406006419
2026,0.5216106872706613,0.7828898994477089,0.8613282857377994,0.8274417096150721,0.7835041870802583
