seed,sample_validation_macro_f1,class_aware_validation_macro_f1,fedper_validation_macro_f1,fedper_test_accuracy,fedper_test_weighted_f1,fedper_test_macro_f1
42,0.5218283020471323,0.7762779052304024,0.9941709664789821,0.9917290757962307,0.9917202200368859,0.9940726452547172
1337,0.5219182446610195,0.6497592670855286,0.9940157098392027,0.990947247140153,0.9909317728148682,0.9941425674274076
2026,0.5216106872706613,0.7828898994477089,0.9177206364658855,0.9539132581680521,0.951507952461531,0.9231612776414752
