run_id,strategy,round,validation_loss,accuracy,macro_f1,weighted_f1
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,1,1.875057577301548,0.3290513833992095,0.15482624732231207,0.27405267477231426
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,2,1.6798249899320137,0.4179018445322793,0.22670940867894634,0.3411344187290532
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,3,1.5518905780375083,0.46846179183135706,0.24840367333858637,0.3774391043716638
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,4,1.4671160430305088,0.5650527009222661,0.28335025897842925,0.46720017591721386
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,5,1.4039976097378335,0.6463274044795784,0.3627636919052001,0.5506402797733684
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,6,1.3576302610053061,0.6496212121212122,0.36720590745485726,0.5573876172039214
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,7,1.321342076237494,0.6601613965744401,0.3761537011491151,0.5684531178232763
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,8,1.2902224092144268,0.7243906455862977,0.4356503756207256,0.6364717177111578
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,9,1.2565868814943337,0.7271080368906456,0.43910910619221083,0.6394362981283948
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,10,1.2302538704652246,0.7271903820816864,0.4389829827597817,0.6395694270059864
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,11,1.2036164325216543,0.7271903820816864,0.4390527460890339,0.6395986555571521
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,12,1.181723306929798,0.7288372859025033,0.4396507851373432,0.6409137569164078
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,13,1.1624969763875164,0.7294960474308301,0.44098594702507493,0.6415712394126952
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,14,1.1526053407289607,0.730072463768116,0.4418980817733171,0.6421659781725274
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,15,1.141223631043365,0.7304018445322793,0.4423827265556609,0.6425041305963286
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,16,1.1352981547279006,0.7318840579710145,0.44458777257964716,0.6439799691985796
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,17,1.1301543144055193,0.7345191040843215,0.44921132204063335,0.6466026305682949
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,18,1.135417698243233,0.7364130434782609,0.45289355043287377,0.6484565423347332
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,19,1.1418585808694912,0.7369894598155468,0.45404056739302046,0.6490222627615546
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,20,1.1444689608688254,0.736907114624506,0.45393490080543303,0.6489411909020945
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,21,1.15179440972048,0.7383893280632411,0.45563984744803965,0.650424555073957
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,22,1.1647268265132376,0.7383893280632411,0.4557746255022112,0.650463819218041
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,23,1.1681426548360994,0.7383893280632411,0.4555690965013367,0.6504270574418505
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,24,1.1972383309415835,0.738471673254282,0.4557468688791615,0.6505519345912909
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,25,1.19773573900557,0.7259552042160737,0.44157120558276314,0.6386216495552989
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,26,1.213811136517129,0.7385540184453228,0.4557255646026054,0.6505956625155733
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,27,1.2267646255543423,0.7262022397891963,0.4419108055991878,0.6388703229328988
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,28,1.2559441078321736,0.7262845849802372,0.4420237328782323,0.638953113585968
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,29,1.2524679190870645,0.7262845849802372,0.4420237328782323,0.638953113585968
fedavg-20260805T110020360734Z-ebfabf8795,fedavg,30,1.2777161595064346,0.7262845849802372,0.4420237328782323,0.638953113585968
fedprox-20260805T111510205887Z-600756a341,fedprox,1,1.875033774394763,0.3290513833992095,0.15485046026450203,0.2741166683981813
fedprox-20260805T111510205887Z-600756a341,fedprox,2,1.6796375621448865,0.41798418972332013,0.22667244459083452,0.34110787607361365
fedprox-20260805T111510205887Z-600756a341,fedprox,3,1.551525492913167,0.46879117259552044,0.247330513802136,0.3772323306521331
fedprox-20260805T111510205887Z-600756a341,fedprox,4,1.467804940164639,0.5650527009222661,0.2828842256372033,0.4670615918784465
fedprox-20260805T111510205887Z-600756a341,fedprox,5,1.4044297511084434,0.64649209486166,0.3625317095481296,0.5507271672034024
fedprox-20260805T111510205887Z-600756a341,fedprox,6,1.3585115817224556,0.6497859025032938,0.3674964554697091,0.5576267155047028
fedprox-20260805T111510205887Z-600756a341,fedprox,7,1.3207609455576057,0.6601613965744401,0.37582033626671485,0.568439624659995
fedprox-20260805T111510205887Z-600756a341,fedprox,8,1.2888862599811377,0.725872859025033,0.4361122231633196,0.6376339394967094
fedprox-20260805T111510205887Z-600756a341,fedprox,9,1.2563408109039187,0.7271080368906456,0.4388581256575797,0.6394582700153707
